TextCluster_cluster_,TextCluster_SVD1,TextCluster_SVD2,TextCluster_SVD3,TextCluster_SVD4,TextCluster_SVD5,TextCluster_SVD6,TextCluster_SVD7,TextCluster_SVD8,TextCluster_SVD9,TextCluster_SVD10,TextTopic_1,TextTopic_2,TextTopic_3,TextTopic_4,TextTopic_5,TextTopic_6,TextTopic_7,TextTopic_8,TextTopic_9,TextTopic_10
$19,0.528346393,-0.151209916,0.29663058,-0.220562183,0.402653231,-0.133465308,0.04908727,-0.088111627,0.0010678,-0.08066233,0,0,0,0,0,0,0,0,0,1
$12,0.436513752,-0.098231999,0.231150034,-0.120271305,0.401090788,-0.162216244,0.068792115,-0.013753484,0.04449369,-0.073800745,0,1,0,0,0,0,0,0,0,0
$9,0.358151533,-0.053070119,0.169575741,-0.143069515,0.313206637,-0.124065999,0.03236435,0.007544329,-0.004665286,-0.005785432,0,0,0,0,0,0,1,0,0,1
$16,0.331521919,-0.015965966,0.135975618,-0.166080642,0.242698654,-0.104254258,0.028985855,-0.005070996,0.004668527,-0.034711723,0,0,0,0,0,0,0,0,0,1
$10,0.714479724,-0.118171692,0.188030992,0.268319473,0.134597055,-0.029046477,-0.131390977,-0.048243326,0.213584282,0.104752425,0,0,0,0,0,0,0,0,0,0
$15,0.35716867,-0.10767859,0.11124319,0.110377739,-0.058486558,0.066650076,-0.250363826,-0.114724388,0.057963063,0.091476054,0,0,0,0,0,0,0,1,0,0
$15,0.523847345,-0.133696048,0.109555164,0.214337935,-0.01075409,0.044783705,-0.275314454,-0.086808562,0.073608356,0.026723272,0,0,0,0,0,0,0,1,0,0
$8,0.578906299,-0.109305938,0.245891282,0.295319121,0.00767041,0.051153212,-0.202230664,-0.049514046,0.002461116,0.075475316,1,0,0,0,0,0,0,0,0,0
$8,0.486815711,-0.06188224,0.175515671,0.22274211,-0.068162374,-0.084826879,-0.127305514,-0.071386937,0.061957807,0.099880437,1,0,0,1,0,0,1,1,0,0
$15,0.357028659,-0.106095192,0.111710443,0.108689358,-0.058785241,0.067979128,-0.249953549,-0.115628927,0.057153183,0.091271107,0,0,0,0,0,0,0,1,0,0
$23,0.564008485,-0.045532441,0.268715267,0.112094727,0.125784416,-0.091846609,-0.03601365,0.037393639,-0.015157134,0.096200832,0,0,0,0,0,0,0,0,0,0
$8,0.549020254,-0.054845653,0.267431065,0.19506239,0.080535973,-0.098039153,-0.031645812,-0.008378657,-0.004109886,0.083209846,0,0,0,0,0,0,1,0,0,0
$10,0.276416364,-0.031306104,0.058814181,0.017661961,-0.001888207,0.048229969,-0.002262868,0.0318503,-0.158352309,0.023395967,0,0,1,0,0,0,0,0,0,0
$10,0.276416364,-0.031306104,0.058814181,0.017661961,-0.001888207,0.048229969,-0.002262868,0.0318503,-0.158352309,0.023395967,0,0,1,0,0,0,0,0,0,0
$9,0.687709828,-0.111126377,0.023184254,0.174609805,0.255915969,-0.063351053,0.053688337,0.13990746,-0.014504153,-0.028041557,0,0,0,0,0,0,0,0,0,0
$9,0.612879538,-0.118727385,0.233680527,0.067081669,0.164806891,-0.121983458,0.098696866,0.023731537,-0.138399719,-0.011583153,0,0,0,0,0,0,0,0,0,0
$10,0.573485383,-0.141727668,0.249344509,0.091957756,-0.014534293,0.149914318,-0.044858052,0.10389102,-0.135818746,-0.015503915,0,0,1,0,0,0,0,0,0,0
$18,0.664310726,-0.120359502,0.290024999,0.277546332,0.018200861,-0.086316601,-0.134755949,0.019121803,0.130873762,0.084003437,0,0,0,1,0,0,0,0,0,0
$10,0.615242938,-0.116470276,0.324104547,0.286168518,0.013222637,0.095395582,-0.189961774,-0.041814577,0.080958419,0.133201776,0,0,0,0,0,0,0,0,0,0
$23,0.56001409,-0.039874156,0.109275687,0.055603473,0.225837226,-0.060129734,0.002262432,0.001720748,0.000601341,0.154052426,0,0,0,0,0,0,1,0,0,0
$15,0.492833791,0.035799659,0.015112952,-0.015984629,0.163949829,-0.141572134,-0.015620263,-0.01687993,0.004161626,0.046452629,0,0,0,0,0,0,1,0,0,0
$10,0.491143503,-0.095672639,0.159926164,-0.042489678,-0.155861937,0.074513598,-0.057144218,0.083050738,-0.103267958,0.044333147,0,0,1,0,0,0,0,0,0,0
$12,0.470725099,-0.10656979,0.304348404,-0.229405651,0.482768538,-0.17605142,0.148449104,-0.025907287,-0.047943677,-0.076778981,0,1,0,0,0,0,0,0,0,0
$19,0.518466161,-0.285245061,-0.045969236,-0.094899155,0.35757988,-0.056463989,0.257948294,0.014460855,0.020183713,-0.100329022,0,0,0,0,0,1,0,0,0,0
$18,0.578753054,-0.12003345,0.230658738,-0.096553178,0.293368923,-0.004332446,0.009031941,0.081943179,-0.138217781,-0.032453671,0,0,0,0,0,0,0,0,0,0
$23,0.629974233,-0.083985238,0.218758569,0.093817614,0.110493036,-0.163300869,0.045153699,-0.001014486,-0.149388553,-0.01982284,0,0,0,0,0,0,0,0,0,0
$12,0.358062056,-0.163323573,0.020638448,-0.099286701,0.32099144,-0.116333865,0.180337942,0.013811759,0.043184975,-0.087935114,0,1,0,0,0,1,0,0,0,0
