"","mpg","cyl","disp","hp","drat","wt","qsec","vs","am","gear","carb"
"Mazda RX4",0.451063829787234,0.5,0.221751060114742,0.204946996466431,0.525345622119816,0.283047813858348,0.233333333333333,0,1,0.5,0.428571428571429
"Mazda RX4 Wag",0.451063829787234,0.5,0.221751060114742,0.204946996466431,0.525345622119816,0.348248529787778,0.3,0,1,0.5,0.428571428571429
"Datsun 710",0.527659574468085,0,0.0920429034671988,0.144876325088339,0.502304147465438,0.20634108923549,0.489285714285714,1,1,0.5,0
"Hornet 4 Drive",0.468085106382979,0.5,0.466201047642804,0.204946996466431,0.147465437788019,0.435182817693684,0.588095238095238,1,0,0,0
"Hornet Sportabout",0.353191489361702,1,0.720628585682215,0.434628975265018,0.179723502304148,0.492712861160828,0.3,0,0,0,0.142857142857143
"Valiant",0.327659574468085,0.5,0.383886255924171,0.187279151943463,0,0.497826642802352,0.680952380952381,1,0,0,0
"Duster 360",0.165957446808511,1,0.720628585682215,0.681978798586572,0.207373271889401,0.525952441830734,0.15952380952381,0,0,0,0.428571428571429
"Merc 240D",0.595744680851064,0,0.188575704664505,0.0353356890459364,0.428571428571429,0.42879059064178,0.654761904761905,1,0,0.5,0.142857142857143
"Merc 230",0.527659574468085,0,0.173858817660264,0.151943462897526,0.534562211981567,0.418563027358732,1,1,0,0.5,0.142857142857143
"Merc 280",0.374468085106383,0.5,0.240708406086306,0.250883392226148,0.534562211981567,0.492712861160828,0.452380952380953,1,0,0.5,0.428571428571429
"Merc 280C",0.314893617021277,0.5,0.240708406086306,0.250883392226148,0.534562211981567,0.492712861160828,0.523809523809524,1,0,0.5,0.428571428571429
"Merc 450SE",0.25531914893617,1,0.510601147418309,0.452296819787986,0.142857142857143,0.653796982868831,0.345238095238095,0,0,0,0.285714285714286
"Merc 450SL",0.293617021276596,1,0.510601147418309,0.452296819787986,0.142857142857143,0.566862694962925,0.369047619047619,0,0,0,0.285714285714286
"Merc 450SLC",0.204255319148936,1,0.510601147418309,0.452296819787986,0.142857142857143,0.579647149066735,0.416666666666667,0,0,0,0.285714285714286
"Cadillac Fleetwood",0,1,1,0.540636042402827,0.078341013824885,0.955510099718742,0.414285714285714,0,0,0,0.428571428571429
"Lincoln Continental",0,1,0.970067348465952,0.575971731448763,0.110599078341014,1,0.395238095238095,0,0,0,0.428571428571429
"Chrysler Imperial",0.182978723404255,1,0.920179595909204,0.628975265017668,0.216589861751152,0.97980056251598,0.347619047619048,0,0,0,0.428571428571429
"Fiat 128",0.936170212765957,0,0.018957345971564,0.049469964664311,0.608294930875576,0.175658399386346,0.591666666666667,1,1,0.5,0
"Honda Civic",0.851063829787234,0,0.0114741830880519,0,1,0.0260802863717719,0.478571428571429,1,1,0.5,0.142857142857143
"Toyota Corolla",1,0,0,0.0459363957597173,0.672811059907834,0.0823318844285349,0.642857142857143,1,1,0.5,0
"Toyota Corona",0.472340425531915,0,0.122224993764031,0.159010600706714,0.433179723502304,0.243416006136538,0.655952380952381,1,0,0,0
"Dodge Challenger",0.217021276595745,1,0.615864305313046,0.346289752650177,0,0.513167987726924,0.282142857142857,0,0,0,0.142857142857143
"AMC Javelin",0.204255319148936,1,0.580942878523323,0.346289752650177,0.179723502304148,0.491434415750447,0.333333333333333,0,0,0,0.142857142857143
"Camaro Z28",0.123404255319149,1,0.695684709403841,0.681978798586572,0.447004608294931,0.594988493991306,0.108333333333333,0,0,0,0.428571428571429
"Pontiac Firebird",0.374468085106383,1,0.82040409079571,0.434628975265018,0.147465437788019,0.596266939401688,0.303571428571429,0,0,0,0.142857142857143
"Fiat X1-9",0.719148936170213,0,0.0197056622599152,0.049469964664311,0.608294930875576,0.107900792636154,0.523809523809524,1,1,0.5,0
"Porsche 914-2",0.663829787234043,0,0.122723871289598,0.137809187279152,0.769585253456221,0.160317054461775,0.261904761904762,0,1,1,0.142857142857143
"Lotus Europa",0.851063829787234,0,0.0598653030680968,0.215547703180212,0.465437788018433,0,0.285714285714286,1,1,1,0.142857142857143
"Ford Pantera L",0.229787234042553,1,0.698179097031679,0.749116607773852,0.672811059907834,0.423676809000256,0,0,1,1,0.428571428571429
"Ferrari Dino",0.395744680851064,0.5,0.184335245697181,0.434628975265018,0.3963133640553,0.321401176169778,0.119047619047619,0,1,1,0.714285714285714
"Maserati Bora",0.195744680851064,1,0.57345971563981,1,0.359447004608295,0.525952441830734,0.0119047619047619,0,1,1,1
"Volvo 142E",0.468085106382979,0,0.124469942629085,0.201413427561837,0.622119815668203,0.323958066990539,0.488095238095238,1,1,0.5,0.142857142857143
