"","PC1","PC2"
"Alabama",0.694605140162397,-0.0430299548600129
"Alaska",-0.193017173591326,1
"Arizona",0.158981107194851,0.136553807167774
"Arkansas",0.43652880661233,-0.236125789408893
"California",0.0442400512952787,0.643220331776653
"Colorado",-0.377953660721855,0.0926773535244155
"Connecticut",-0.348125891434413,-0.0445378761092577
"Delaware",-0.0778537952847646,-0.0930907620644408
"Florida",0.214825108259179,0.207973779180398
"Georgia",0.603751079749469,0.0201527330701029
"Hawaii",-0.0892642327542509,0.0229578701106935
"Idaho",-0.260884068304094,-0.112009452380743
"Illinois",0.0218035966907173,0.235034213986715
"Indiana",-0.0863612115005213,-0.0449400676232515
"Iowa",-0.425538409723791,-0.0983942188532412
"Kansas",-0.348506928310205,-0.0141474052368468
"Kentucky",0.390266031159753,-0.195054650567987
"Louisiana",0.777285978391805,-0.0634695148094874
"Maine",-0.175982940576568,-0.312016968255196
"Maryland",-0.0372836256190086,0.0712607488104407
"Massachusetts",-0.219181703900513,-0.0400750054419415
"Michigan",0.0333327709858132,0.15525827912012
"Minnesota",-0.446029681761395,-0.0669581570173322
"Mississippi",0.738995458476414,-0.192669890413746
"Missouri",0.0570462797728879,-0.027181292553987
"Montana",-0.252717872593544,-0.00614693756623347
"Nebraska",-0.399733623190306,-0.100390519182733
"Nevada",-0.206570450895477,0.207638801415001
"New Hampshire",-0.30631151150266,-0.240534459086443
"New Jersey",-0.119054503937832,0.0515873946813586
"New Mexico",0.24237618626546,-0.0538051655424744
"New York",0.192506648167673,0.347076601778198
"North Carolina",0.493813653275273,-0.0947804802381524
"North Dakota",-0.44310672034303,-0.143309555942033
"Ohio",-0.0491107923666109,0.0764002890952493
"Oklahoma",0.0135467065626733,-0.118504878316889
"Oregon",-0.24279436186401,0.0417279692087703
"Pennsylvania",0.0141824129351425,0.049376966397274
"Rhode Island",-0.135781438569761,-0.267825576392022
"South Carolina",0.680147948588151,-0.166754961788398
"South Dakota",-0.368854389381817,-0.241028720814836
"Tennessee",0.4065364275746,-0.11931894169868
"Texas",0.442369015452712,0.426570105143465
"Utah",-0.414729606088877,-0.0979314936710273
"Vermont",-0.250957141565717,-0.276637604732941
"Virginia",0.18209605448648,0.0338277891760465
"Washington",-0.245595671667321,0.0937551434819059
"West Virginia",0.276131557596855,-0.293609298092892
"Wisconsin",-0.322119509989265,-0.116515208512809
"Wyoming",-0.271947102216965,0.00774463005034917
